Timestamp_UTC,Satellite_ID,Satellite_Name,Projection_X,Projection_Y,Label
1623296137,0,G01,83.89189189189189,116.75675675675676,LOS
1623296137,2,G03,479.13513513513516,157.11711711711712,NLOS
1623296137,6,G07,373.9099099099099,173.83783783783784,LOS
1623296137,13,G14,164.9009009009009,105.8018018018018,NLOS
1623296137,20,G21,76.10810810810811,183.06306306306305,LOS
1623296137,27,G28,177.5855855855856,153.65765765765767,NLOS
1623296137,29,G30,305.2972972972973,121.08108108108108,NLOS
1623296137,111,C07,52.18018018018018,54.486486486486484,NLOS
1623296137,112,C08,371.31531531531533,51.027027027027025,NLOS
1623296137,115,C11,120.7927927927928,112.72072072072072,NLOS
1623296137,117,C13,350.84684684684686,115.02702702702703,NLOS
1623296138,0,G01,83.89189189189189,116.75675675675676,LOS
1623296138,2,G03,479.13513513513516,157.11711711711712,NLOS
1623296138,6,G07,373.9099099099099,173.83783783783784,LOS
1623296138,13,G14,164.9009009009009,105.8018018018018,NLOS
1623296138,20,G21,76.10810810810811,183.06306306306305,LOS
1623296138,21,G22,17.00900900900901,164.61261261261262,NLOS
1623296138,27,G28,177.5855855855856,153.65765765765767,NLOS
1623296138,29,G30,305.2972972972973,121.08108108108108,NLOS
1623296138,111,C07,52.18018018018018,54.486486486486484,NLOS
1623296138,112,C08,371.31531531531533,51.027027027027025,NLOS
1623296138,115,C11,120.7927927927928,112.72072072072072,NLOS
1623296138,117,C13,350.84684684684686,115.02702702702703,NLOS
1623296139,0,G01,83.89189189189189,116.75675675675676,LOS
1623296139,2,G03,479.13513513513516,157.11711711711712,NLOS
1623296139,6,G07,373.9099099099099,173.83783783783784,LOS
1623296139,13,G14,164.9009009009009,105.8018018018018,NLOS
1623296139,20,G21,76.10810810810811,183.06306306306305,LOS
1623296139,27,G28,177.5855855855856,153.36936936936937,NLOS
1623296139,29,G30,305.2972972972973,121.08108108108108,NLOS
1623296139,111,C07,52.18018018018018,54.486486486486484,NLOS
1623296139,112,C08,371.31531531531533,51.027027027027025,NLOS
1623296139,115,C11,120.50450450450451,113.009009009009,NLOS
1623296139,117,C13,350.84684684684686,115.02702702702703,NLOS
1623296140,0,G01,83.6036036036036,116.75675675675676,LOS
1623296140,2,G03,478.55855855855856,157.11711711711712,NLOS
1623296140,6,G07,373.6216216216216,173.83783783783784,LOS
1623296140,13,G14,164.32432432432432,105.51351351351352,NLOS
1623296140,20,G21,75.81981981981981,183.06306306306305,LOS
1623296140,27,G28,177.00900900900902,153.65765765765767,NLOS
1623296140,29,G30,305.009009009009,120.7927927927928,NLOS
1623296140,111,C07,51.891891891891895,54.1981981981982,NLOS
1623296140,112,C08,370.73873873873873,50.73873873873874,NLOS
1623296140,115,C11,119.92792792792793,113.009009009009,NLOS
1623296140,117,C13,350.55855855855856,115.02702702702703,NLOS
1623296141,0,G01,80.72072072072072,117.04504504504504,LOS
1623296141,2,G03,475.963963963964,157.40540540540542,NLOS
1623296141,6,G07,371.02702702702703,173.54954954954954,LOS
1623296141,13,G14,161.44144144144144,105.22522522522523,NLOS
1623296141,20,G21,72.93693693693693,183.35135135135135,LOS
1623296141,27,G28,174.12612612612614,153.65765765765767,NLOS
1623296141,29,G30,302.4144144144144,120.7927927927928,NLOS
1623296141,111,C07,48.72072072072072,54.486486486486484,NLOS
1623296141,112,C08,369.009009009009,50.450450450450454,NLOS
1623296141,115,C11,117.04504504504504,113.009009009009,NLOS
1623296141,117,C13,347.6756756756757,114.73873873873873,NLOS
1623296142,0,G01,73.22522522522523,117.33333333333333,LOS
1623296142,2,G03,469.0450450450451,157.981981981982,NLOS
1623296142,5,G06,317.1171171171171,221.40540540540542,NLOS
1623296142,6,G07,364.39639639639637,173.54954954954954,LOS
1623296142,13,G14,153.94594594594594,105.51351351351352,NLOS
1623296142,20,G21,65.44144144144144,183.63963963963963,LOS
1623296142,21,G22,6.918918918918919,166.34234234234233,NLOS
1623296142,27,G28,166.9189189189189,152.7927927927928,NLOS
1623296142,29,G30,295.4954954954955,120.21621621621621,NLOS
1623296142,111,C07,41.22522522522522,55.06306306306306,NLOS
1623296142,112,C08,362.6666666666667,50.450450450450454,NLOS
1623296142,115,C11,109.54954954954955,113.29729729729729,NLOS
1623296142,117,C13,341.0450450450451,114.45045045045045,NLOS
1623296143,0,G01,62.270270270270274,117.90990990990991,LOS
1623296143,2,G03,458.9549549549549,158.84684684684686,NLOS
1623296143,6,G07,354.3063063063063,173.54954954954954,LOS
1623296143,13,G14,142.7027027027027,104.36036036036036,NLOS
1623296143,20,G21,55.06306306306306,184.5045045045045,LOS
1623296143,21,G22,508.2522522522523,166.9189189189189,NLOS
1623296143,27,G28,155.96396396396398,152.5045045045045,NLOS
1623296143,29,G30,285.6936936936937,119.63963963963964,NLOS
1623296143,111,C07,29.98198198198198,55.927927927927925,NLOS
